,,,,,,,,,,,,,,,,,,,,,
,Lat,Lon,Shifted_Lon,Trend_1971_1990,Trend_1971_1990_angle,Err_Trend_1971_1990,P_1971_1990,Trend_1991_1994,Trend_since_1991_1994_angle,Err_Trend_1991_1994,P_1991_1994,Trend_since_1995,Trend_angle dummy,Trend_since_1995_angle,Err_Trend_since_1995,P_since_1995,Trend_since_2000,Trend_since_2000_angle,Err_Trend_since_2000,P_since_2000,
Alert(D),82.5,-62.5,297.5,,,,,0.1,3.0,0.8,0.72,-0.5,0,-15.0,0.9,0.29,-0.5,-15,1.5,0.47,
Zeppelin(D),78.9,11.9,11.9,0.6,18.0,0.7,0.06,,0,,,0.3,0,9.0,1.0,0.52,-0.7,-21,1.2,0.23,
Barrow(24),71.3,-156.6,203.4,0.6,18.0,0.3,0.00,,0,,,0.8,0,24.0,0.9,0.08,1.0,30.0,1.4,0.16,
Esrange(D),67.9,21.1,21.1,,0,,,0.8,24.0,0.7,0.04,0.0,0,0.0,0.8,0.92,0.0,0.0,1.2,0.97,
Tustervatn(D),65.8,13.9,13.9,0.9,27.0,0.8,0.02,,0,,,-0.6,0,-18.0,0.7,0.12,-1.4,-42,1.0,0.00,
Denali(D),63.7,-149.0,211.0,0.7,21.0,0.6,0.01,,0,,,0.7,-90,21.0,0.9,0.14,1.1,33.0,1.3,0.10,
StrathVaichDam(D),57.7,-4.8,355.2,0.2,6.0,0.7,0.49,,0,,,-0.4,-90,-12.0,1.0,0.42,-0.7,-21,1.5,0.34,
MaceHead(D),53.3,-9.9,350.1,1.1,33.0,0.5,0.00,,0,,,0.7,-90,21.0,0.8,0.08,0.6,18.0,0.9,0.18,
Zugspitze(N),47.4,11.0,11.0,2.3,69.0,0.7,0.00,,0,,,-0.8,-90,-24.0,0.6,0.00,-0.6,-18,0.8,0.13,
Sonnblick(N),47.1,13.0,13.0,0.0,0.0,0.6,0.98,,0,,,-1,-90,-30,0.7,0.00,-1.8,-54,0.9,0.00,
Jungfraujoch(N),46.5,8.0,8.0,1.1,33.0,0.6,0.00,,0,,,0.2,-90,6.0,0.6,0.45,-0.2,-6,0.7,0.66,
Kislovodsk(24),43.7,42.7,42.7,-3.4,-102,1.5,0.00,,0,,,-1.1,-90,-33.0,1.6,0.17,0.5,15.0,2.0,0.61,
Centennial(D),41.4,-106.2,253.8,-0.6,-18,0.9,0.16,,0,,,-1.5,-90,-45.0,1.2,0.01,-2.6,-78,1.8,0.00,
GreatBasin(D),39.0,-114.2,245.8,,0,,,0.5,15.0,0.9,0.26,0.2,-90,6.0,1.0,0.67,-0.5,-15,1.4,0.48,
Gothic(D),39.0,-107.0,253.0,-1.0,-30.0,0.6,0.00,,0,,,-1.9,90,-57.0,0.8,0.00,-2.8,-84,1.1,0.00,
GrandCanyon(D),36.1,-112.2,247.8,-0.3,-9,0.7,0.33,,0,,,-1.5,90,-45.0,0.8,0.00,-2.6,-78,1.1,0.00,
Mt.Waliguan(N),36.3,100.9,100.9,,0,,,1.8,54.0,0.5,0.00,1.7,90,51.0,0.5,0.00,1.6,48.0,0.8,0.00,
Izaña(N),28.3,-16.5,343.5,1.3,39.0,0.6,0.00,,0,,,0.5,90,15.0,0.9,0.28,0.3,9.0,1.0,0.55,
Minamitorishima(N),24.3,154,154,,0,,,-0.6,-18,0.8,0.17,-0.4,90,-12.0,0.9,0.35,0.5,15.0,1.2,0.38,
MLO–all(N),19.5,-155.6,204.4,1.3,39.0,0.5,0.00,,0,,,0.9,90,27.0,1.4,0.20,1.3,39.0,2.1,0.23,
MLO-lowhumidity(N),19.5,-155.6,204.4,2.1,63.0,0.4,0.00,,0,,,2.4,90,72.0,1.0,0.00,3.3,99.0,1.5,0.00,
MLO-highhumidity(N),19.5,-155.6,204.4,1.0,30.0,0.3,0.00,,0,,,0.6,90,18.0,0.9,0.16,0.4,12.0,1.3,0.51,
AmericanSamoa(24),-14.2,-170.6,189.4,0.2,6.0,0.2,0.05,,0,,,1.5,90,45.0,0.7,0.00,2.2,66.0,0.9,0.00,
ElTololo(N),-30.2,-70.8,289.2,,0,,,,0,,,0.2,90,6.0,0.6,0.52,0.2,6.0,0.9,0.63,
CapePoint(24),-34.4,18.5,18.5,1.6,48.0,0.3,0.00,,0,,,1.2,90,36.0,0.6,0.00,0.9,27.0,0.9,0.05,
CapeGrim(D),-40.7,144.7,144.7,0.4,12.0,0.2,0.00,,0,,,0.3,90,9.0,0.3,0.08,-0.2,-6,0.4,0.27,
Ushuaia(D),-54.8,-68.3,291.7,,0,,,-0.9,-27,0.5,0.00,-0.9,90,-27.0,0.5,0.00,-0.8,-24,0.6,0.00,
Neumayer(D),-70.7,-8.3,351.7,,0,,,,0,,,1.0,90,30.0,0.4,0.00,0.8,24.0,0.6,0.01,
SouthPole(24),-90.0,59.0,59.0,0.3,9.0,0.4,0.16,,0,,,1.5,90,45.0,0.6,0.00,1.0,30.0,0.7,0.00,
Pfälzerwald-Hort.(D),49.3,7.8,7.8,0.2,6.0,0.8,0.69,,0,,,-0.9,90,-27.0,1.0,0.07,-0.6,-18,1.4,0.40,
Hohenpeissenberg(D),47.8,11.0,11.0,1.8,54.0,0.5,0.00,,0,,,-1.3,90,-39.0,1.0,0.02,-2.2,-66,1.5,0.00,
Schwarzwald-Süd(N),47.8,7.8,7.8,-2.4,-72,1.1,0.00,,0,,,-2.2,90,-66.0,1.4,0.00,-1.0,-30.0,1.6,0.21,